name,phone,principal_contact,url,address,accreditation_status
Progressive Medical Billing,(210) 733-1802,Ms. Leticia A. Cantu,https://www.progressivebilling.com/,"6655 First Park Ten Blvd Ste 216, San Antonio, TX, 78213-4304, USA",True
Momentum Billing,(866) 875-6527,,https://www.momentumbilling.com,"13400 Sabre Springs Pkwy #150, San Diego, CA, 92128, USA",False
Centerline Medical Billing,(800) 828-5133,Mr. Patrick Mahoney,https://centerlinebilling.com/,"Aliso Viejo, CA, 92653-4642, USA",True
Compass Billing,(303) 713-1300,Ms. Ellen E. Stewart,https://www.compassbilling.com,"5350 Dtc Pkwy Ste 304, Greenwood Village, CO, 80111, USA",False
Matrix Medical Billing,(888) 834-3477,Mr. Christian Burris,https://www.matrixbill.com,"2135 E. University Drive #120, Mesa, AZ, 85213-8337, USA",False
Medical Billing Partners,(402) 413-5394,Taylor Santos,https://medbillpartners.com,"Lincoln, NE, 68505-0201, USA",False
Springs Medical Billing,,Mrs. Christina Boyce,https://www.springsmedicalbilling.com/,"Po Box 64258, Colorado Springs, CO, 80962, USA",False
Veracity Medical Billing,(317) 520-3555,Sharon Gall,https://veracitymedicalbilling.com/,"220 South Elm Street, Zionsville, IN, 46077, USA",False
Midwest Medical Billing,(614) 577-1077,Ms. Kelly Schaffer Rahe,https://midwestbillingoh.com/,"6400 E Main St Ste 201, Reynoldsburg, OH, 43068-2348, USA",False
Specialized Medical Billing,(614) 461-8154,Mrs. Adrianne H. Nittala,https://specializedmedbilling.com/,"330 E Wilson Bridge Rd Ste 100, Worthington, OH, 43085-6310, USA",True
Proclaims Medical Billing,(386) 274-5712,Michelle Cavanaugh,https://www.proclaimsmedicalbilling.com,"785 W Granada Blvd Ste 5, Ormond Beach, FL, 32174-5163, USA",False
Blitz Medical Billing,(855) 329-8220,Ms. Lilian Garcia,https://blitzmedical.com,"1701 Legacy Dr Ste 1200, Frisco, TX, 75034-5991, USA",True
Medical Billing Center,(864) 679-1600,Ms. Nicole Kluckhohn,https://www.4mbc.com/,"401 Brookfield Pkwy Ste 500A, Greenville, SC, 29607-5795, USA",False
PC Medical Billing LLC,(360) 539-8487,Mr. Patrick O'Neil,https://www.pacificcoastmb.com/,"Olympia, WA, 98516-5969, USA",True
Specialty Billing Services,(914) 771-7335,Ms. Jeannine Raciti,,"2649 Strang Blvd Ste 303, Yorktown Heights, NY, 10598-2938, USA",False
Orange County Medical Billing,(714) 895-5614,Ms. Tracy Ann Jonas,https://www.ocmedicalbilling.com,"8311 Westminster Blvd Ste 340D, Westminster, CA, 92683-8315, USA",False
